Date,Article,Price,Parking,Rooms,Meters,Floor,Sqmp
04-11-2020,89065645,1000,0,4,62.0,5,16.13
04-11-2020,88886627,990,0,2,59.0,2,16.78
04-11-2020,88112825,1200,0,3,80.0,3,15.0
04-11-2020,88244372,1200,0,2,52.0,4,23.08
04-11-2020,88196898,1000,0,3,70.0,3,14.29
04-11-2020,85250440,1033,1,2,60.0,4,17.22
04-11-2020,87017300,1200,0,2,60.0,3,20.0
04-11-2020,86060554,1200,0,2,56.0,6,21.43
04-11-2020,89121601,890,0,2,50.0,1,17.8
04-11-2020,89059070,1000,0,2,70.0,2,14.29
04-11-2020,89021295,1150,0,2,70.0,2,16.43
04-11-2020,89021294,1200,0,2,60.0,1,20.0
04-11-2020,88994428,1100,0,3,80.0,1,13.75
04-11-2020,89147096,985,0,3,69.0,5,14.28
04-11-2020,89143536,900,0,2,65.0,2,13.85
04-11-2020,89137481,1000,0,3,82.0,0,12.2
04-11-2020,89129982,1000,0,2,55.0,42,18.18
04-11-2020,89129041,1200,0,2,55.0,1,21.82
04-11-2020,89128661,1190,0,2,66.0,4,18.03
04-11-2020,89128652,875,0,2,50.0,3,17.5
04-11-2020,89128481,1200,0,2,70.0,3,17.14
04-11-2020,89128420,1200,0,3,79.0,4,15.19
04-11-2020,89128462,950,0,2,90.0,0,10.56
04-11-2020,89128434,1200,0,3,72.0,10,16.67
04-11-2020,89128415,1000,0,3,94.0,1,10.64
04-11-2020,89128310,1200,0,3,79.0,4,15.19
04-11-2020,89128208,1190,0,2,66.0,4,18.03
04-11-2020,89128080,1200,0,3,72.0,10,16.67
04-11-2020,89126822,1200,0,3,79.0,4,15.19
04-11-2020,89126747,1190,0,2,66.0,4,18.03
04-11-2020,89126556,875,0,2,50.0,3,17.5
04-11-2020,89122648,1100,0,3,65.0,1,16.92
04-11-2020,89122491,1100,0,3,65.0,1,16.92
04-11-2020,89118913,1050,0,2,40.0,5,26.25
04-11-2020,89118872,1200,0,3,89.0,1,13.48
04-11-2020,89118842,1050,0,2,40.0,5,26.25
04-11-2020,89118239,1150,0,3,120.0,0,9.58
04-11-2020,89113293,1200,0,2,70.0,3,17.14
04-11-2020,89113090,1190,0,2,66.0,4,18.03
04-11-2020,89112758,1200,0,2,60.0,1,20.0
04-11-2020,89111788,1050,0,2,40.0,5,26.25
04-11-2020,89110482,1150,0,2,89.0,3,12.92
04-11-2020,89110545,1200,0,3,89.0,1,13.48
04-11-2020,88996758,1000,0,3,75.0,6,13.33
04-11-2020,88981173,1150,0,4,85.0,5,13.53
04-11-2020,88918435,990,0,2,45.0,2,22.0
04-11-2020,88903867,1190,0,3,85.0,7,14.0
04-11-2020,88900128,1100,0,2,60.0,0,18.33
04-11-2020,88885630,930,0,3,49.0,0,18.98
04-11-2020,88830756,1100,0,2,70.0,2,15.71
04-11-2020,88828165,1100,0,2,60.0,2,18.33
04-11-2020,88486178,945,0,3,69.0,6,13.7
04-11-2020,88457640,850,0,2,63.0,0,13.49
04-11-2020,88449887,1100,0,2,47.0,1,23.4
04-11-2020,88216388,965,0,3,75.0,1,12.87
04-11-2020,89101099,1000,0,3,54.0,3,18.52
04-11-2020,89066266,1050,0,2,58.0,7,18.1
04-11-2020,89059449,990,0,4,95.0,3,10.42
04-11-2020,89059378,750,0,3,60.0,2,12.5
04-11-2020,89020043,1150,0,4,85.0,1,13.53
04-11-2020,89020429,750,0,3,60.0,3,12.5
